GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pet-clinic-web,guru.springframework.sfgpetclinic.formatters,PetTypeFormatter,32,6,4,0,7,3,4,1,2,1
pet-clinic-web,guru.springframework.sfgpetclinic.controllers,OwnerController,11,119,3,7,4,30,3,11,0,9
pet-clinic-web,guru.springframework.sfgpetclinic.controllers,VetController,13,6,0,0,3,3,2,1,2,1
pet-clinic-web,guru.springframework.sfgpetclinic.controllers,IndexController,4,3,0,0,2,1,2,1,2,1
pet-clinic-web,guru.springframework.sfgpetclinic.controllers,VisitController,2,62,1,1,1,17,1,5,0,5
pet-clinic-web,guru.springframework.sfgpetclinic.controllers,PetController,31,98,7,3,6,25,5,8,0,8
pet-clinic-web,guru.springframework.sfgpetclinic.controllers,VisitController.new PropertyEditorSupport() {...},0,11,0,0,0,3,0,2,0,2
pet-clinic-web,guru.springframework.sfgpetclinic.bootstrap,DataLoader,0,248,1,1,0,70,1,3,0,3
pet-clinic-web,guru.springframework.sfgpetclinic,SfgPetClinicApplication,5,3,0,0,2,1,1,1,1,1
